,Profile,Features changed,Perc. features changed with bad shap vals,Distance to data point,Distance to training data point,Target missed
0,5.56,5,0.0,0.10409589185790853,0.3045658982731248,False
1,Run 1_Trace 1613475766175,7,28.57142857142857,0.09237319229588073,0.06818181818181818,False
2,Run 1_Trace 1613475745777,7,28.57142857142857,0.09083377052578326,0.001601209802962238,False
3,2A3.3,1,0.0,0.015151515151515152,0.12012471221462852,False
4,Run 1_Trace 1613486842954,8,25.0,0.07535666089844754,0.08333333333333333,False
5,Run 1_Trace 1613638963435,5,0.0,0.07253536543856334,0.17410714285714285,False
6,Run 1_Trace 1613475780884,5,0.0,0.13645955458346223,0.3712121212157378,False
7,Run 1_Trace 1613475749114,1,0.0,0.13528424110800735,0.05215746341680381,False
8,6606079_20170517086_RABM0598NL#02_G10.hid,1,0.0,0.3229166666666667,0.32972465242506377,False
9,Run 1_Trace 1613475762067,1,0.0,0.05303030303030303,0.8546693113696464,False
10,Run 1_Trace 1613475762528,6,16.666666666666664,0.08260505193523505,0.6178571428570329,False
11,Run 1_Trace 1613652317963,2,0.0,0.060909881037762875,0.6624536524193987,False
12,Run 1_Trace 1613477972750,3,0.0,0.06494187142146245,0.6434309238800873,False
13,Run 1_Trace 1613475721841,2,0.0,0.036491065671646485,0.537714730096081,False
14,Run 1_Trace 1613475750425,2,0.0,0.19635878920695504,0.27594007366762097,False
15,Run 1_Trace 1613475719952,7,57.14285714285714,0.15772851489432776,0.05218016575486664,False
16,Run 1_Trace 1613665562009,1,0.0,0.09090909090909091,0.5640964005615231,False
17,Run 1_Trace 1613475746193,8,37.5,0.10450574285467085,0.0655458198045931,False
18,Run 1_Trace 1613475971690,6,0.0,0.09823806639868417,0.43333333333432333,False
19,Run 1_Trace 1613579437213,1,0.0,0.052083333333333336,0.6842027895078632,False
20,Run 1_Trace 1613607764814,4,0.0,0.07344520637585883,0.8346568507601768,False
21,Run 1_Trace 1613475715212,1,0.0,0.03466590676937335,1.176620530412993,False
22,Run 1_Trace 1613475776207,5,20.0,0.11290920540679292,0.25000000000049244,False
23,Run 1_Trace 1613475718928,2,0.0,0.17962066225569523,0.3238274393186113,False
24,3.09,1,0.0,0.014472745535874514,0.6637836012295883,False
25,Run 1_Trace 1613475798319,5,0.0,0.11551108650463582,0.21554165020993046,False
26,Run 1_Trace 1613486306353,1,0.0,0.12161993994732338,0.45313643350032634,False
27,Run 1_Trace 1613690434008,2,0.0,0.05601371786291123,0.3977047035237316,False
28,Run 1_Trace 1613604162122,3,0.0,0.05250560119558199,0.5735712486411384,False
29,Run 1_Trace 1613479797549,2,0.0,0.11742424242424242,0.8170447817880346,False
30,Run 1_Trace 1613485535948,5,0.0,0.056548452451605356,1.1006721690585104,False
31,Run 1_Trace 1613475721705,4,0.0,0.12623351926857945,0.252985049523702,False
32,Run 1_Trace 1613475776600,11,27.27272727272727,0.14087107882273558,0.0,False
33,Run 1_Trace 1613640971388,2,0.0,0.08276989949399631,0.3321617265971078,False
34,Run 1_Trace 1613492043376,10,20.0,0.08285166050056329,0.0,False
35,Run 1_Trace 1613475982379,5,0.0,0.044572535167555286,0.7083390490701448,False
36,Run 1_Trace 1613475725113,8,50.0,0.10730106992177149,0.022579174492223755,False
37,Run 1_Trace 1613475751879,5,0.0,0.09298986230908829,0.3783613309450947,False
38,Run 1_Trace 1613475756800,4,25.0,0.09754637278631788,0.030303030303030304,False
39,Run 1_Trace 1613475736418,2,0.0,0.21087066225569523,0.25273791058169237,False
40,4.45,6,0.0,0.06559232376236689,0.37493169057521586,False
41,Run 1_Trace 1613475757400,1,0.0,0.13541666666666666,0.5503306351364812,False
42,2.19,4,0.0,0.08134669911841064,0.42999999999958205,False
43,Run 1_Trace 1613676513158,1,0.0,0.10606060606060606,0.8728136459361309,False
44,8pg_E04_13.hid,2,0.0,0.18158831014410284,0.5464288555573897,False
45,7241797_20070201143_AFJ155#01_F02.hid,2,0.0,0.17792411208817252,0.2126402585674066,False
46,Run 1_Trace 1613475948721,6,0.0,0.040584176799121865,0.4151346670383841,False
47,Run 1_Trace 1613590654897,3,0.0,0.10223443714269576,0.8592794749545545,False
48,Run 1_Trace 1613475756941,4,0.0,0.07670015825315729,0.5340733893715048,False
49,Run 1_Trace 1613475744834,5,0.0,0.12540039055388746,0.4384097614493914,False
50,Run 1_Trace 1613565745834,10,30.0,0.14737957563714998,0.0,False
51,Run 1_Trace 1613640261912,3,0.0,0.18119186583029442,0.4387027284832831,False
52,Run 1_Trace 1613475838000,1,0.0,0.08333333333333333,0.5933366609643745,False
53,Run 1_Trace 1613475801231,9,0.0,0.06817233482011778,0.125,False
54,Run 1_Trace 1613475750621,1,0.0,0.3333333333333333,0.5663651300286008,False
55,Run 1_Trace 1613486740116,3,0.0,0.053313317271627116,0.44406088892752793,False
56,Run 1_Trace 1613639992592,2,0.0,0.07121579944619894,0.3688671375957087,False
