,Profile,Features changed,Perc. features changed with bad shap vals,Distance to data point,Distance to training data point,Target missed
0,5.56,5,0.0,0.10317879247533598,0.30450725199861267,False
1,Run 1_Trace 1613475766175,8,37.5,0.08897871717158999,0.0,False
2,Run 1_Trace 1613475745777,7,28.57142857142857,0.09064555294626132,0.001601209802962238,False
3,2A3.3,1,0.0,0.014492753623188406,0.11685673835841935,False
4,Run 1_Trace 1613486842954,8,25.0,0.07464813016426272,0.08333333333333333,False
5,Run 1_Trace 1613638963435,5,0.0,0.06193696530793411,0.17410714285714285,False
6,Run 1_Trace 1613475780884,5,20.0,0.13645955458346223,0.36956521739212783,False
7,Run 1_Trace 1613475749114,1,0.0,0.13528424110800735,0.05215746341680381,False
8,6606079_20170517086_RABM0598NL#02_G10.hid,1,0.0,0.3229166666666667,0.32774836784008354,False
9,Run 1_Trace 1613475762067,1,0.0,0.050724637681159424,0.8546693113696452,False
10,Run 1_Trace 1613475762528,5,20.0,0.09853317694546894,0.6178571428585347,False
11,Run 1_Trace 1613652317963,2,0.0,0.059921738745272755,0.6620431284978139,False
12,Run 1_Trace 1613477972750,3,0.0,0.06494187142146245,0.6401093696139533,False
13,Run 1_Trace 1613475721841,2,0.0,0.035502923379156365,0.537714730096081,False
14,Run 1_Trace 1613475750425,2,0.0,0.19635878920695504,0.27495193137513085,False
15,Run 1_Trace 1613475719952,7,57.14285714285714,0.15763440610456683,0.05218016575486664,False
16,Run 1_Trace 1613665562009,1,0.0,0.08695652173913043,0.5330841464091829,False
17,Run 1_Trace 1613475746193,6,16.666666666666664,0.1154216730753162,0.20840296266173597,False
18,Run 1_Trace 1613475971690,6,0.0,0.09807337601660249,0.43333333333432333,False
19,Run 1_Trace 1613579437213,1,0.0,0.052083333333333336,0.668080909812419,False
20,Run 1_Trace 1613607764814,4,0.0,0.05800963313706475,0.8283313253721326,False
21,Run 1_Trace 1613475715212,1,0.0,0.03466590676937335,1.1762911496487978,False
22,Run 1_Trace 1613475776207,6,16.666666666666664,0.09376162374151607,0.25,False
23,Run 1_Trace 1613475718928,2,0.0,0.17962066225569523,0.3234980585544479,False
24,3.09,1,0.0,0.014472745535874514,0.6627935671217914,False
25,Run 1_Trace 1613475798319,5,0.0,0.11551108650463582,0.21554165020992658,False
26,Run 1_Trace 1613486306353,1,0.0,0.12161993994732338,0.44961621760320486,False
27,Run 1_Trace 1613690434008,2,0.0,0.05601371786291123,0.3938368193144807,False
28,Run 1_Trace 1613604162122,4,0.0,0.0452350898894901,0.4598276751559729,False
29,Run 1_Trace 1613479797549,2,0.0,0.11594202898550723,0.8105018974194912,False
30,Run 1_Trace 1613485535948,6,0.0,0.06388956443345019,0.989590398624995,False
31,Run 1_Trace 1613475721705,3,0.0,0.161859903381571,0.27201003568914345,False
32,Run 1_Trace 1613475776600,11,36.36363636363637,0.14063152917607127,0.0,False
33,Run 1_Trace 1613640971388,2,0.0,0.08276989949399631,0.327883523367045,False
34,Run 1_Trace 1613492043376,10,20.0,0.08179366293596543,0.0,False
35,Run 1_Trace 1613475982379,5,0.0,0.04397964979206122,0.7083346348344288,False
36,Run 1_Trace 1613475725113,5,0.0,0.10957932151157446,0.3321029840160333,False
37,Run 1_Trace 1613475751879,5,0.0,0.09200688677368309,0.3783613309450947,False
38,Run 1_Trace 1613475756800,4,0.0,0.09754637278631788,0.028985507246376812,False
39,Run 1_Trace 1613475736418,2,0.0,0.21087066225569523,0.2520791490533657,False
40,4.45,6,0.0,0.05172809799793663,0.44839785060141724,False
